"","suburb","postcode"
"1","CARLTON",3053
"2","CARLTON NORTH",3054
"3","DOCKLANDS",3008
"4","EAST MELBOURNE",3002
"5","FLEMINGTON",3031
"6","KENSINGTON",3031
"7","MELBOURNE",3000
"8","MELBOURNE",3004
"9","NORTH MELBOURNE",3051
"10","PARKVILLE",3052
"11","PORT MELBOURNE",3207
"12","SOUTHBANK",3006
"13","SOUTH WHARF",3006
"14","SOUTH YARRA",3141
"15","WEST MELBOURNE",3003
"16","ALBERT PARK",3206
"17","BALACLAVA",3183
"18","ELWOOD",3184
"19","MELBOURNE",3004
"20","MIDDLE PARK",3206
"21","PORT MELBOURNE",3207
"22","RIPPONLEA",3185
"23","ST KILDA",3182
"24","ST KILDA EAST",3183
"25","ST KILDA WEST",3182
"26","SOUTHBANK",3006
"27","SOUTH MELBOURNE",3205
"28","SOUTH WHARF",3006
"29","ABBOTSFORD",3067
"30","ALPHINGTON",3078
"31","BURNLEY",3121
"32","CARLTON NORTH",3054
"33","CLIFTON HILL",3068
"34","COLLINGWOOD",3066
"35","CREMORNE",3121
"36","FAIRFIELD",3078
"37","FITZROY",3065
"38","FITZROY NORTH",3068
"39","PRINCES HILL",3054
"40","RICHMOND",3121
"41","BELLFIELD",3081
"42","BRIAR HILL",3088
"43","BUNDOORA",3083
"44","EAGLEMONT",3084
"45","ELTHAM",3095
"46","ELTHAM NORTH",3095
"47","GREENSBOROUGH",3088
"48","HEIDELBERG",3084
"49","HEIDELBERG HEIGHTS",3081
"50","HEIDELBERG WEST",3081
"51","IVANHOE",3079
"52","IVANHOE EAST",3079
"53","LOWER PLENTY",3093
"54","MACLEOD",3085
"55","MONTMORENCY",3094
"56","ROSANNA",3084
"57","ST HELENA",3088
"58","VIEWBANK",3084
"59","WATSONIA",3087
"60","WATSONIA NORTH",3087
"61","YALLAMBIE",3085
"62","ALPHINGTON",3078
"63","BUNDOORA",3083
"64","COBURG",3058
"65","COBURG NORTH",3058
"66","FAIRFIELD",3078
"67","KINGSBURY",3083
"68","MACLEOD",3085
"69","NORTHCOTE",3070
"70","PRESTON",3072
"71","RESERVOIR",3073
"72","THORNBURY",3071
"73","ATTWOOD",3049
"74","BROADMEADOWS",3047
"75","CAMPBELLFIELD",3061
"76","COOLAROO",3048
"77","CRAIGIEBURN",3064
"78","DALLAS",3047
"79","GLADSTONE PARK",3043
"80","GREENVALE",3059
"81","JACANA",3047
"82","KEILOR",3036
"83","MEADOW HEIGHTS",3048
"84","MELBOURNE AIRPORT",3045
"85","ROXBURGH PARK",3064
"86","SOMERTON",3062
"87","TULLAMARINE",3043
"88","WESTMEADOWS",3049
"89","SUNBURY",3429
"90","BULLA",3428
"91","CLARKEFIELD",3430
"92","DIGGERS REST",3427
"93","KALKALLO",3064
"94","MICKLEHAM",3064
"95","OAKLANDS JUNCTION",3063
"96","WILDWOOD",3429
"97","YUROKE",3063
"98","BRUNSWICK",3056
"99","BRUNSWICK EAST",3057
"100","BRUNSWICK WEST",3055
"101","COBURG",3058
"102","COBURG NORTH",3058
"103","FAWKNER",3060
"104","GLENROY",3046
"105","GOWANBRAE",3043
"106","HADFIELD",3046
"107","OAK PARK",3046
"108","PASCOE VALE",3044
"109","PASCOE VALE SOUTH",3044
"110","TULLAMARINE",3043
"111","DIAMOND CREEK",3089
"112","ELTHAM",3095
"113","ELTHAM NORTH",3095
"114","GREENSBOROUGH",3088
"115","HURSTBRIDGE",3099
"116","NORTH WARRANDYTE",3113
"117","PLENTY",3090
"118","RESEARCH",3095
"119","WATTLE GLEN",3096
"120","BEND OF ISLANDS",3097
"121","CHRISTMAS HILLS",3775
"122","COTTLES BRIDGE",3099
"123","DOREEN",3754
"124","KANGAROO GROUND",3097
"125","KINGLAKE",3763
"126","BYLANDS",3762
"127","KINGLAKE WEST",3778
"128","NUTFIELD",3099
"129","PANTON HILL",3759
"130","ST ANDREWS",3761
"131","SMITHS GULLY",3760
"132","STRATHEWEN",3099
"133","WATSONS CREEK",3097
"134","YAN YEAN",3755
"135","YARRAMBAT",3091
"136","BUNDOORA",3083
"137","DOREEN",3754
"138","EPPING",3076
"139","LALOR",3075
"140","MERNDA",3754
"141","MILL PARK",3082
"142","SOUTH MORANG",3752
"143","THOMASTOWN",3074
"144","BEVERIDGE",3753
"145","DONNYBROOK",3064
"146","EDEN PARK",3757
"147","HUMEVALE",3757
"148","KINGLAKE WEST",3778
"149","WHITTLESEA",3757
"150","WOLLERT",3750
"151","WOODSTOCK",3755
"152","YAN YEAN",3755
"153","ASHBURTON",3147
"154","SOLWAY",NA
"155","BALWYN",3103
"156","BALWYN NORTH",3104
"157","CAMBERWELL",3124
"158","CANTERBURY",3126
"159","DEEPDENE",3103
"160","GLEN IRIS",3146
"161","HAWTHORN",3122
"162","HAWTHORN EAST",3123
"163","KEW",3101
"164","KEW EAST",3102
"165","MONT ALBERT",3127
"166","MONT ALBERT NORTH",3127
"167","SURREY HILLS",3127
"168","BAYSWATER",3153
"169","BORONIA",3155
"170","FERNTREE GULLY",3156
"171","KNOXFIELD",3180
"172","LYSTERFIELD",3156
"173","ROWVILLE",3178
"174","SCORESBY",3179
"175","SASSAFRAS",3787
"176","THE BASIN",3154
"177","UPPER FERNTREE GULLY",3156
"178","WANTIRNA",3152
"179","WANTIRNA SOUTH",3152
"180","BULLEEN",3105
"181","DONCASTER",3108
"182","DONCASTER EAST",3109
"183","DONVALE",3111
"184","PARK ORCHARDS",3114
"185","TEMPLESTOWE",3106
"186","TEMPLESTOWE LOWER",3107
"187","WARRANDYTE",3113
"188","WARRANDYTE SOUTH",3134
"189","WONGA PARK",3115
"190","NUNAWADING",3131
"191","RINGWOOD NORTH",3134
"192","BAYSWATER NORTH",3153
"193","CROYDON",3136
"194","CROYDON HILLS",3136
"195","CROYDON NORTH",3136
"196","CROYDON SOUTH",3136
"197","HEATHMONT",3135
"198","KILSYTH",3137
"199","KILSYTH SOUTH",3137
"200","PARK ORCHARDS",3114
"201","RINGWOOD",3134
"202","RINGWOOD EAST",3135
"203","RINGWOOD NORTH",3134
"204","VERMONT",3133
"205","WARRANWOOD",3134
"206","WONGA PARK",3115
"207","BLACKBURN",3130
"208","BLACKBURN NORTH",3130
"209","BLACKBURN SOUTH",3130
"210","BOX HILL",3128
"211","BOX HILL NORTH",3129
"212","BOX HILL SOUTH",3128
"213","BURWOOD",3125
"214","BURWOOD EAST",3151
"215","FOREST HILL",3131
"216","MITCHAM",3132
"217","MONT ALBERT",3127
"218","NUNAWADING",3131
"219","SURREY HILLS",3127
"220","VERMONT",3133
"221","VERMONT SOUTH",3133
"222","BELGRAVE",3160
"223","BELGRAVE HEIGHTS",3160
"224","BELGRAVE SOUTH",3160
"225","CHIRNSIDE PARK",3116
"226","KILSYTH",3137
"227","LILYDALE",3140
"228","MONTROSE",3765
"229","MOOROOLBARK",3138
"230","MOUNT EVELYN",3796
"231","SELBY",3159
"232","TECOMA",3160
"233","UPPER FERNTREE GULLY",3156
"234","UPWEY",3158
"235","BADGER CREEK",3777
"236","BEENAK",3139
"237","BIG PATS CREEK",3799
"238","CAMBARVILLE",3779
"239","CHUM CREEK",3777
"240","COLDSTREAM",3770
"241","DIXONS CREEK",3775
"242","DON VALLEY",3139
"243","FERNSHAW",3778
"244","FERNY CREEK",3786
"245","GILDEROY",3797
"246","GLADYSDALE",3797
"247","GRUYERE",3770
"248","HEALESVILLE",3777
"249","HODDLES CREEK",3139
"250","KALLISTA",3791
"251","KALORAMA",3766
"252","LAUNCHING PLACE",3139
"253","LYSTERFIELD",3156
"254","MACCLESFIELD",3782
"255","MCMAHONS CREEK",3799
"256","MATLOCK",3723
"257","MENZIES CREEK",3159
"258","MILLGROVE",3799
"259","MONBULK",3793
"260","MOUNT DANDENONG",3767
"261","MOUNT TOOLEBEWONG",3777
"262","NARRE WARREN EAST",3804
"263","OLINDA",3788
"264","POWELLTOWN",3797
"265","REEFTON",3799
"266","SASSAFRAS",3787
"267","SEVILLE",3139
"268","SEVILLE EAST",3139
"269","SHERBROOKE",3789
"270","SILVAN",3795
"271","STEELS CREEK",3775
"272","TARRAWARRA",3775
"273","THE PATCH",3792
"274","THREE BRIDGES",3797
"275","TOORONGO",3833
"276","TREMONT",3785
"277","WANDIN EAST",3139
"278","WANDIN NORTH",3139
"279","WARBURTON",3799
"280","EAST WARBURTON",3799
"281","WESBURN",3799
"282","WOORI YALLOCK",3139
"283","YARRA GLEN",3775
"284","YARRA JUNCTION",3797
"285","YELLINGBO",3139
"286","YERING",3770
"287","BEAUMARIS",3193
"288","BLACK ROCK",3193
"289","BRIGHTON",3186
"290","BRIGHTON EAST",3187
"291","CHELTENHAM",3192
"292","GARDENVALE",3185
"293","HAMPTON",3188
"294","HAMPTON EAST",3188
"295","HIGHETT",3190
"296","SANDRINGHAM",3191
"297","MOORABBIN",3189
"298","BEACONSFIELD",3807
"299","EMERALD",3782
"300","OFFICER",3809
"301","PAKENHAM",3810
"302","AVONSLEIGH",3782
"303","BAYLES",3981
"304","BEACONSFIELD UPPER",3808
"305","BUNYIP",3815
"306","BUNYIP NORTH",3815
"307","CALDERMEADE",3984
"308","CARDINIA",3978
"309","CATANI",3981
"310","CLEMATIS",3782
"311","COCKATOO",3781
"312","CORA LYNN",3814
"313","DALMORE",3981
"314","DEWHURST",3809
"315","GARFIELD",3814
"316","GARFIELD NORTH",3814
"317","GEMBROOK",3783
"318","GUYS HILL",3807
"319","HEATH HILL",3981
"320","IONA",3815
"321","KOO WEE RUP",3981
"322","KOO WEE RUP NORTH",3891
"323","LANG LANG",3984
"324","LANG LANG EAST",3894
"325","LONGWARRY",3816
"326","MARYKNOLL",3812
"327","MENZIES CREEK",3159
"328","MODELLA",3816
"329","MONOMEITH",3984
"330","MOUNT BURNETT",3781
"331","NANGANA",3781
"332","NAR NAR GOON",3812
"333","NAR NAR GOON NORTH",3812
"334","NYORA",3987
"335","OFFICER SOUTH",3809
"336","PAKENHAM SOUTH",3810
"337","PAKENHAM UPPER",3810
"338","RYTHDALE",3810
"339","TONIMBUK",3815
"340","BOTANIC RIDGE",3977
"341","TYNONG",3813
"342","TYNONG NORTH",3813
"343","VERVALE",3814
"344","YANNATHAN",3894
"345","BERWICK",3806
"346","BOTANIC RIDGE",3977
"347","CLYDE",3978
"348","CLYDE NORTH",3978
"349","CRANBOURNE",3977
"350","CRANBOURNE EAST",3977
"351","CRANBOURNE WEST",3977
"352","CRANBOURNE SOUTH",3977
"353","DOVETON",3177
"354","ENDEAVOUR HILLS",3802
"355","EUMEMMERRING",3177
"356","HALLAM",3803
"357","HAMPTON PARK",3976
"358","JUNCTION VILLAGE",3977
"359","LYNBROOK",3975
"360","NARRE WARREN",3805
"361","NARRE WARREN NORTH",3804
"362","NARRE WARREN SOUTH",3805
"363","BLIND BIGHT",3980
"364","CANNONS CREEK",3977
"365","DEVON MEADOWS",3977
"366","HARKAWAY",3806
"367","LYSTERFIELD SOUTH",3156
"368","PEARCEDALE",3912
"369","TOORADIN",3980
"370","WARNEET",3980
"371","DANDENONG",3175
"372","DANDENONG NORTH",3175
"373","DANDENONG SOUTH",3175
"374","KEYSBOROUGH",3173
"375","NOBLE PARK",3174
"376","NOBLE PARK NORTH",3174
"377","SPRINGVALE",3171
"378","SPRINGVALE SOUTH",3172
"379","LYNDHURST",3975
"380","BANGHOLME",3175
"381","CARRUM DOWNS",3201
"382","FRANKSTON",3199
"383","FRANKSTON NORTH",3200
"384","FRANKSTON SOUTH",3199
"385","LANGWARRIN",3910
"386","SANDHURST",3977
"387","SEAFORD",3198
"388","SKYE",3977
"389","LANGWARRIN SOUTH",3911
"390","BENTLEIGH",3204
"391","BENTLEIGH EAST",3165
"392","CAULFIELD",3162
"393","CAULFIELD EAST",3145
"394","CAULFIELD NORTH",3161
"395","CAULFIELD SOUTH",3162
"396","CARNEGIE",3163
"397","ELSTERNWICK",3185
"398","GARDENVALE",3185
"399","GLEN HUNTLY",3163
"400","MCKINNON",3204
"401","MURRUMBEENA",3163
"402","ORMOND",3204
"403","ST KILDA EAST",3183
"404","ASPENDALE",3195
"405","ASPENDALE GARDENS",3195
"406","BONBEACH",3196
"407","BRAESIDE",3195
"408","CARRUM",3197
"409","CHELSEA",3196
"410","CHELSEA HEIGHTS",3196
"411","CHELTENHAM",3192
"412","CLARINDA",3169
"413","CLAYTON SOUTH",3169
"414","DINGLEY VILLAGE",3172
"415","EDITHVALE",3196
"416","HEATHERTON",3202
"417","HIGHETT",3190
"418","MENTONE",3194
"419","MOORABBIN",3189
"420","MOORABBIN AIRPORT",3194
"421","MORDIALLOC",3195
"422","PARKDALE",3195
"423","PATTERSON LAKES",3197
"424","WATERWAYS",3195
"425","ASHWOOD",3147
"426","BURWOOD",3125
"427","CHADSTONE",3148
"428","CLAYTON",3168
"429","GLEN WAVERLEY",3150
"430","HUGHESDALE",3166
"431","HUNTINGDALE",3166
"432","MONASH UNIVERSITY",3800
"433","MOUNT WAVERLEY",3149
"434","JORDANVILLE",NA
"435","MULGRAVE",3170
"436","NOTTING HILL",3168
"437","OAKLEIGH",3166
"438","OAKLEIGH EAST",3166
"439","OAKLEIGH SOUTH",3167
"440","WHEELERS HILL",3150
"441","BLAIRGOWRIE",3942
"442","CAPEL SOUND",3940
"443","DROMANA",3936
"444","MCCRAE",3938
"445","MORNINGTON",3931
"446","MOUNT ELIZA",3930
"447","MOUNT MARTHA",3934
"448","PORTSEA",3944
"449","ROSEBUD",3939
"450","RYE",3941
"451","SAFETY BEACH",3936
"452","ST ANDREWS BEACH",3941
"453","SORRENTO",3943
"454","TOOTGAROOK",3941
"455","BITTERN",3918
"456","CRIB POINT",3919
"457","HASTINGS",3915
"458","SOMERVILLE",3912
"459","TYABB",3913
"460","ARTHURS SEAT",3936
"461","BALNARRING",3926
"462","BALNARRING BEACH",3926
"463","BAXTER",3911
"464","BONEO",3939
"465","CAPE SCHANCK",3939
"466","FINGAL",3939
"467","FLINDERS",3929
"468","HMAS CERBERUS",3920
"469","MAIN RIDGE",3928
"470","MERRICKS",3916
"471","MERRICKS BEACH",3926
"472","MERRICKS NORTH",3926
"473","MOOROODUC",3933
"474","POINT LEO",3916
"475","RED HILL",3937
"476","RED HILL SOUTH",3937
"477","SHOREHAM",3916
"478","SOMERS",3927
"479","TUERONG",3915
"480","ARMADALE",3143
"481","GLEN IRIS",3146
"482","KOOYONG",3144
"483","MALVERN",3144
"484","MALVERN EAST",3145
"485","PRAHRAN",3181
"486","SOUTH YARRA",3141
"487","TOORAK",3142
"488","WINDSOR",3181
"489","ALBANVALE",3021
"490","ALBION",3020
"491","ARDEER",3022
"492","BROOKLYN",3012
"493","CAIRNLEA",3023
"494","CALDER PARK",3037
"495","DEER PARK",3023
"496","DELAHEY",3037
"497","DERRIMUT",3030
"498","HILLSIDE",3037
"499","KEALBA",3021
"500","KEILOR",3036
"501","KEILOR DOWNS",3038
"502","KEILOR EAST",3033
"503","KEILOR LODGE",3038
"504","KEILOR NORTH",3036
"505","KEILOR PARK",3042
"506","KINGS PARK",3021
"507","ST ALBANS",3021
"508","SUNSHINE",3020
"509","SUNSHINE NORTH",3020
"510","SUNSHINE WEST",3020
"511","SYDENHAM",3037
"512","TAYLORS LAKES",3038
"513","ALTONA",3018
"514","ALTONA MEADOWS",3028
"515","ALTONA NORTH",3025
"516","BROOKLYN",3012
"517","LAVERTON",3028
"518","NEWPORT",3015
"519","SPOTSWOOD",3015
"520","SEABROOK",3028
"521","SEAHOLME",3018
"522","SOUTH KINGSVILLE",3015
"523","WILLIAMSTOWN",3016
"524","WILLIAMSTOWN NORTH",3016
"525","BRAYBROOK",3019
"526","FOOTSCRAY",3011
"527","KINGSVILLE",3012
"528","MAIDSTONE",3012
"529","MARIBYRNONG",3032
"530","SEDDON",3011
"531","TOTTENHAM",3012
"532","WEST FOOTSCRAY",3012
"533","YARRAVILLE",3013
"534","BROOKFIELD",3338
"535","BURNSIDE",3023
"536","BURNSIDE HEIGHTS",3023
"537","CAROLINE SPRINGS",3023
"538","DIGGERS REST",3427
"539","EXFORD",3338
"540","EYNESBURY",3338
"541","HILLSIDE",3037
"542","KURUNJANG",3337
"543","MELTON",3337
"544","MELTON SOUTH",3338
"545","MELTON WEST",3337
"546","MOUNT COTTRELL",3024
"547","PARWAN",3340
"548","PLUMPTON",3335
"549","RAVENHALL",3023
"550","ROCKBANK",3335
"551","TOOLERN VALE",3337
"552","TRUGANINA",3029
"553","ABERFELDIE",3040
"554","AIRPORT WEST",3042
"555","ASCOT VALE",3032
"556","AVONDALE HEIGHTS",3034
"557","ESSENDON",3040
"558","ESSENDON FIELDS",3041
"559","ESSENDON NORTH",3041
"560","ESSENDON WEST",3040
"561","FLEMINGTON",3031
"562","KEILOR EAST",3033
"563","MOONEE PONDS",3039
"564","NIDDRIE",3042
"565","STRATHMORE",3041
"566","STRATHMORE HEIGHTS",3041
"567","TRAVANCORE",3032
"568","HOPPERS CROSSING",3029
"569","LAVERTON",3028
"570","LAVERTON NORTH",3026
"571","MANOR LAKES",3024
"572","POINT COOK",3030
"573","TARNEIT",3029
"574","TRUGANINA",3029
"575","WERRIBEE",3030
"576","WERRIBEE SOUTH",3030
"577","WILLIAMS LANDING",3027
"578","WYNDHAM VALE",3024
"579","COCOROC",3030
"580","EYNESBURY",3338
"581","LITTLE RIVER",3211
"582","MAMBOURIN",3024
"583","MOUNT COTTRELL",3024
"584","QUANDONG",3340
